base_currency,target_currency,exchange_rate
CNY,NPR,18.2919
CNY,NZD,0.2316
CNY,OMR,0.0528
CNY,PAB,0.1373
CNY,PEN,0.519
CNY,PGK,0.5067
CNY,PHP,7.7016
CNY,PKR,39.108
CNY,PLN,0.5725
CNY,PYG,1008.9589
CNY,QAR,0.4998
CNY,RON,0.6384
CNY,RSD,15.0555
CNY,RUB,12.684
CNY,RWF,173.6002
CNY,SAR,0.5149
CNY,SBD,1.1498
CNY,SCR,1.8599
CNY,SDG,61.3748
CNY,SEK,1.5011
CNY,SGD,0.186
CNY,SHP,0.1116
CNY,SLE,3.0689
CNY,SLL,3068.8488
CNY,SOS,78.537
CNY,SRD,5.2828
CNY,SSP,144.072
CNY,STN,3.146
CNY,SYP,1765.2309
CNY,SZL,2.5214
CNY,THB,4.8816
CNY,TJS,1.5005
CNY,TMT,0.4805
CNY,TND,0.4326
CNY,TOP,0.3271
CNY,TRY,3.9138
CNY,TTD,0.9215
CNY,TVD,0.2137
CNY,TWD,4.4227
CNY,TZS,344.8961
CNY,UAH,4.9485
CNY,UGX,516.8764
CNY,USD,0.1373
CNY,UYU,5.4455
CNY,UZS,1684.5568
CNY,VES,4.8257
CNY,VND,3339.0238
CNY,VUV,16.7276
CNY,WST,0.3799
CNY,XAF,84.2299
CNY,XCD,0.3708
CNY,XDR,0.1042
CNY,XOF,84.2299
CNY,XPF,15.3231
CNY,YER,34.1735
CNY,ZAR,2.5214
CNY,ZMW,3.0896
CNY,ZWL,785.5226
