base_currency,target_currency,exchange_rate
GBP,GNF,10571.6377
GBP,GTQ,9.5952
GBP,GYD,257.9505
GBP,HKD,9.6139
GBP,HNL,30.2602
GBP,HRK,8.6662
GBP,HTG,164.0392
GBP,HUF,435.2268
GBP,IDR,19228.471
GBP,ILS,4.7623
GBP,IMP,1.0
GBP,INR,102.3355
GBP,IQD,1613.2839
GBP,IRR,52379.266
GBP,ISK,173.2763
GBP,JEP,1.0
GBP,JMD,189.7742
GBP,JOD,0.8719
GBP,JPY,184.9057
GBP,KES,187.7598
GBP,KGS,109.907
GBP,KHR,5076.4667
GBP,KID,1.9132
GBP,KMF,565.8617
GBP,KRW,1607.9302
GBP,KWD,0.379
GBP,KYD,1.0249
GBP,KZT,571.6716
GBP,LAK,25278.6277
GBP,LBP,18447.3405
GBP,LKR,401.2943
GBP,LRD,233.879
GBP,LSL,22.5661
GBP,LYD,5.9921
GBP,MAD,12.5579
GBP,MDL,22.0722
GBP,MGA,5590.5471
GBP,MKD,70.9822
GBP,MMK,2968.5021
GBP,MNT,4232.7911
GBP,MOP,9.903
GBP,MRU,48.3596
GBP,MUR,54.2493
GBP,MVR,18.9128
GBP,MWK,1418.7065
GBP,MXN,21.4958
GBP,MYR,5.7474
GBP,MZN,78.669
GBP,NAD,22.5661
GBP,NGN,959.1421
GBP,NIO,44.8344
GBP,NOK,13.7502
GBP,NPR,163.7493
GBP,NZD,2.073
GBP,OMR,0.4729
GBP,PAB,1.2298
GBP,PEN,4.6482
GBP,PGK,4.5447
GBP,PHP,68.9594
GBP,PKR,350.1058
GBP,PLN,5.1293
GBP,PYG,9049.8359
GBP,QAR,4.4766
GBP,RON,5.722
GBP,RSD,134.972
GBP,RUB,113.4754
GBP,RWF,1557.4845
GBP,SAR,4.6118
GBP,SBD,10.3939
GBP,SCR,16.681
GBP,SDG,550.9913
GBP,SEK,13.4348
GBP,SGD,1.666
GBP,SHP,1.0
GBP,SLE,27.484
GBP,SLL,27484.5344
GBP,SOS,705.0648
GBP,SRD,47.4259
GBP,SSP,1291.9643
GBP,STN,28.1799
GBP,SYP,15833.206
GBP,SZL,22.5661
GBP,THB,43.7219
GBP,TJS,13.4407
GBP,TMT,4.3059
GBP,TND,3.8797
GBP,TOP,2.7823
GBP,TRY,35.0477
GBP,TTD,8.5282
GBP,TVD,1.9132
GBP,TWD,39.5886
GBP,TZS,3094.3334
GBP,UAH,44.3404
GBP,UGX,4637.3062
GBP,USD,1.2298
GBP,UYU,48.8438
GBP,UZS,15098.6563
GBP,VES,43.232
GBP,VND,29889.4893
GBP,VUV,149.4144
GBP,WST,3.3669
GBP,XAF,754.4822
GBP,XCD,3.3205
GBP,XDR,0.9339
GBP,XOF,754.4822
GBP,XPF,137.2558
GBP,YER,306.5203
GBP,ZAR,22.5649
GBP,ZMW,27.7195
GBP,ZWL,7055.1559
JPY,JPY,1.0
JPY,AED,0.02442
JPY,AFN,0.4901
JPY,ALL,0.6542
JPY,AMD,2.6748
JPY,ANG,0.0119
JPY,AOA,5.5628
JPY,ARS,2.328
JPY,AUD,0.01035
JPY,AWG,0.0119
JPY,AZN,0.01127
JPY,BAM,0.01216
JPY,BBD,0.0133
JPY,BDT,0.7309
JPY,BGN,0.01216
JPY,BHD,0.002501
JPY,BIF,18.8514
JPY,BMD,0.006651
JPY,BND,0.009008
JPY,BOB,0.04579
JPY,BRL,0.03237
JPY,BSD,0.006651
JPY,BTN,0.5532
JPY,BWP,0.09033
JPY,BYN,0.02159
JPY,BZD,0.0133
JPY,CAD,0.009147
JPY,CDF,16.571
JPY,CHF,0.005987
JPY,CLP,5.9162
JPY,CNY,0.04843
JPY,COP,26.9222
JPY,CRC,3.5263
JPY,CUP,0.1596
JPY,CVE,0.6856
JPY,CZK,0.1531
JPY,DJF,1.182
JPY,DKK,0.04638
JPY,DOP,0.3762
JPY,DZD,0.898
JPY,EGP,0.2051
JPY,ERN,0.09976
JPY,ETB,0.372
JPY,EUR,0.006218
JPY,FJD,0.01507
JPY,FKP,0.005408
JPY,FOK,0.04639
JPY,GBP,0.005407
JPY,GEL,0.01795
JPY,GGP,0.005408
JPY,GHS,0.07967
JPY,GIP,0.005408
JPY,GMD,0.4343
JPY,GNF,57.059
JPY,GTQ,0.05181
JPY,GYD,1.3921
JPY,HKD,0.05199
JPY,HNL,0.1634
JPY,HRK,0.04685
JPY,HTG,0.8853
JPY,HUF,2.3542
JPY,IDR,103.9353
JPY,ILS,0.02574
JPY,IMP,0.005408
JPY,INR,0.5532
JPY,IQD,8.7068
JPY,IRR,283.1045
JPY,ISK,0.9363
JPY,JEP,0.005408
JPY,JMD,1.0264
JPY,JOD,0.004715
JPY,KES,1.0129
JPY,KGS,0.594
JPY,KHR,27.3973
JPY,KID,0.01035
JPY,KMF,3.059
JPY,KRW,8.6884
JPY,KWD,0.002049
JPY,KYD,0.005542
JPY,KZT,3.0917
JPY,LAK,136.4967
JPY,LBP,99.7617
JPY,LKR,2.1712
JPY,LRD,1.2629
JPY,LSL,0.122
JPY,LYD,0.03234
JPY,MAD,0.06786
JPY,MDL,0.1193
JPY,MGA,30.1935
JPY,MKD,0.3823
JPY,MMK,16.0386
JPY,MNT,22.8915
JPY,MOP,0.05355
JPY,MRU,0.261
JPY,MUR,0.2931
JPY,MVR,0.1021
JPY,MWK,7.6573
JPY,MXN,0.1162
JPY,MYR,0.03105
JPY,MZN,0.4246
JPY,NAD,0.122
JPY,NGN,5.179
JPY,NIO,0.2421
JPY,NOK,0.07436
JPY,NPR,0.8851
JPY,NZD,0.01121
JPY,OMR,0.002557
JPY,PAB,0.006651
JPY,PEN,0.02511
JPY,PGK,0.02454
JPY,PHP,0.3729
